coderome,a_pourvoir_le,titre_offre,date_publication,des_que_possible_desc,diplome,duree_contrat,nb_postes,numero,created,niveau_formation,experience,commune_emploi,employeur_nom_entreprise,employeur_adresse_correspondance_subdivision,activites_multivalue,competences_multivalue,contact_mail
A1501,2025-04-23,Auxiliaire vétérinaire,2025-04-23 13:55:17+00,Dès que possible,diplome auxilaire de soins veterinaires,3 mois,1,2025-04-021678,2025-04-23 13:55:16+00,,Moins d'1 an,Mont-Dore (Le),Anonyme,,"Administrer des produits vétérinaires,Effectuer la surveillance post-opératoire d'un animal,Sensibiliser au bien-être animal,Identifier le motif de consultation et son degré d'urgence et informer le client sur les modalités de prise en charge de l'animal,Préparer les accessoires de radiologie et procéder au développement des clichés,Dispenser des soins d'esthétique à un animal,Manipuler des animaux,Préparer les aliments et les distribuer aux animaux,Préparer le matériel et apporter une aide technique au vétérinaire, à l'éleveur, ...,Promener des animaux domestiques,Prodiguer des soins sur les animaux",,sophie.dinckel@hotmail.com
C1205,2025-04-23,Conseiller / Conseillère en gestion de patrimoine financier,2025-04-23 14:44:47+00,Dès que possible,Diplôme en Gestion de Patrimoine,,1,2025-04-021680,2025-04-23 14:44:47+00,Bac +2,Au moins 3 ans,Nouméa,CAPLIF SARL,98846,"Établir le bilan patrimonial d'un client,Consulter des fichiers clients en préparation d'entretiens programmés,Définir les besoins d'un client,Déterminer une stratégie financière,Analyser la situation financière d'un client,Réaliser un suivi des dossiers clients, fournisseurs,Réaliser une étude patrimoniale","Fiscalité,Logiciel de gestion clients,Caractéristiques des produits financiers,Dispositif TRACFIN (Traitement du renseignement et action contre les circuits financiers clandestins),Principes de la relation client,Analyse de patrimoine financier",a.aribaud@caplif.nc
D1407,2025-04-28,Attaché technico-commercial / Attachée technico-commerciale,2025-04-28 16:55:34+00,Dès que possible,,,1,2025-04-021711,2025-04-28 16:55:34+00,Bac +2,Au moins 3 ans,Nouméa,MODULIA,98801 NOUMEA CEDEX,"Développer et fidéliser la relation client,Établir un plan de tournée de prospection (ciblage, interlocuteurs, préparation de dossiers techniques),Mettre en oeuvre des actions commerciales et promotionnelles,Établir un devis,Utiliser les outils bureautiques,Effectuer le suivi des commandes, la facturation,Établir un contrat de vente,Analyser les résultats des ventes,Négocier un contrat,Élaborer une stratégie commerciale","Logiciel de gestion clients,Techniques commerciales",recrutement@modulia.nc
M1202,2025-04-28,Auditeur légal / Auditrice légale,2025-04-28 11:32:10+00,Dès que possible,"DCG, BUT, DSCG, Master CCA",,1,2025-04-021703,2025-04-28 11:32:10+00,"Bac + 3, bac + 4",Moins d'1 an,Nouméa,OCEA NOUVELLE-CALEDONIE,98845 NOUMEA CEDEX,"Réaliser un audit financier,Utiliser les outils bureautiques,Expliquer et faire respecter les règles et procédures,Contrôler la régularité des états financiers,Préparer les éléments nécessaires à un audit financier,Analyser et prévenir les risques,Contrôler la conformité des données ou des documents,Identifier les risques liés à une gestion d'entreprise",,gs@mazars.nc
D1403,2025-04-24,Conseiller commercial / Conseillère commerciale auprès des particuliers,2025-04-24 13:52:52+00,Dès que possible,,,1,2025-04-021686,2025-04-24 13:52:52+00,Bac +2,Au moins 1 an,Nouméa,CAN'L / GO TV,98845 NOUMEA CEDEX,"Conduire un entretien de vente,Développer et fidéliser la relation client,Vendre ou louer des produits ou des services,Mettre en oeuvre des actions commerciales et promotionnelles,Conseiller, accompagner une personne,Recueillir et analyser les besoins client,Renseigner des supports de suivi d'activité,Présenter et valoriser un produit ou un service,Transmettre une technique, un savoir-faire","Argumentation commerciale,Typologie du client,Techniques commerciales,Techniques d'écoute active",resprh@cipac.nc
M1202,2025-04-28,Auditeur / Auditrice comptable,2025-04-28 11:52:07+00,Dès que possible,Master compta ou audit,,1,2025-04-021704,2025-04-28 11:52:07+00,Bac + 5 et plus,Au moins 3 ans,Nouméa,BDO AUDIT,98846 NOUMEA CEDEX,"Réaliser un audit financier,Expliquer et faire respecter les règles et procédures,Rédiger un rapport d'audit,Analyser et prévenir les risques,Contrôler la conformité des données ou des documents",Audit comptable,michael.chantrie@bdo.nc
M1601,2025-03-20,Hôte / Hôtesse d'accueil standardiste,2025-03-20 16:32:13+00,Dès que possible,,3 mois,1,2025-03-021387,2025-03-20 16:32:13+00,"Bac, bac professionnel",Au moins 1 an,Nouméa,Anonyme,,"Tenir un registre client,Conseiller un interlocuteur dans des démarches administratives,Saisir des documents numériques,Mettre en forme des documents avant impression,Procéder à l'enregistrement, au tri, à l'affranchissement du courrier,Assurer un accueil téléphonique,Accueillir une clientèle,Renseigner un client,Orienter les personnes selon leur demande,Transmettre de l'information,Identifier, traiter une demande client,Étudier une demande client,Acceuillir, orienter, informer une personne,Établir, mettre à jour un dossier, une base de données,Utiliser une installation, une machine,Utiliser les outils bureautiques,Assurer un accueil téléphonique,Corriger et mettre en forme un document,Contrôler l'accès et la circulation des personnes","Outils bureautiques,Techniques de numérisation,Méthode de classement et d'archivage,Modalités d'accueil,Techniques de communication,Utilisation d'outils collaboratifs (planning partagé, web conférence, réseau social d'entreprise, ...),Système d'information et de communication,Veille informationnelle,Techniques de prévention et de gestion de conflits",apasf1@gmail.com
J1506,2025-04-07,Infirmier / Infirmière en hémodialyse,2025-04-07 14:07:09+00,Dès que possible,Diplôme d'état infirmier,,1,2025-04-021557,2025-04-07 14:07:09+00,"Bac + 3, bac + 4",Au moins 3 ans,Dumbéa,ATIR-NC,98846 NOUMEA CEDEX,"Désinfecter et décontaminer un équipement,Réaliser ou contrôler les soins d'hygiène, de confort et apporter une aide au patient (lever, marche, soins post opératoires...),Tenir à jour les dossiers médico-administratifs des patients,Informer un patient,Pratiquer une prise en charge de la maladie rénale chronique,Désinfecter et décontaminer un équipement,Assurer la gestion administrative d'une activité,Pratiquer des prises en charge de la douleur,Cerner l'état du patient (clinique, psychologique) et consigner les informations recueillies dans le dossier médical,Pratiquer une hémodialyse,Surveiller l'état de santé d'une personne,Surveiller l'état clinique du patient (constantes, fonctions d'élimination, comportement, ...) et informer l'équipe soignante/médicale sur l'évolution de l'état clinique,Réaliser les soins infirmiers, communiquer avec le patient (ressenti, douleur, ...) et actualiser le dossier de soins infirmiers (incidents, modifications d'état clinique, ...),Réaliser des soins infirmiers","Identification des signes et du degré de la douleur,Charte des droits du patient,Techniques de gestion du stress,Règles d'hygiène et d'asepsie",drh@atir.asso.nc
E1103,2025-04-07,Chargé / Chargée de communication,2025-04-07 11:10:30+00,Dès que possible,,,1,2025-04-021552,2025-04-07 11:10:30+00,"Bac + 3, bac + 4",Au moins 5 ans,Nouméa,MANPOWER PROFESSIONAL NC-MANPOWER BUSINESS,,"Réaliser des supports de communication multimédia,Identifier et sélectionner des fournisseurs, sous-traitants, prestataires,Organiser une conférence de presse,Améliorer le positionnement d'un site web,Accompagner des groupes lors de visites guidées ou sorties ludiques,Rédiger des communiqués de presse,Réaliser une revue de presse,Réaliser des actions de relation publique, de diffusion et de promotion de l'information,Réaliser des supports de communication audiovisuels,Mettre en oeuvre des actions de communication interne,Animer des activités culturelles et artistiques,Définir une ligne éditoriale,Représenter sa structure lors d'un événement ou auprès d'instances de décision,Concevoir et gérer un projet,Diriger et gérer un ensemble, une structure, une organisation,Organiser, coordonner un événement,Utiliser les outils bureautiques,Administrer un site web,Réaliser le bilan des actions de communication,Concevoir des supports de communication visuelle,Rédiger un rapport, un compte rendu d'activité,Adapter une campagne promotionnelle à une cible ou un produit,Mener une campagne d'e-mailing,Rédiger un discours,Maîtriser la e-réputation d'une entreprise,Réaliser un journal interne,Mettre en oeuvre des actions de communication,Contrôler la conformité des données ou des documents,Développer et piloter un réseau d'organisations partenaires,Définir une stratégie de communication,Concevoir un support de communication audiovisuel,Évaluer l'e-réputation d'un site web,Négocier un contrat,Rédiger le contenu d'un support de communication",,manon.tui@manpower.nc
D1401,2025-04-09,Assistant commercial / Assistante commerciale,2025-04-09 14:13:34+00,Dès que possible,,3 mois,1,2025-04-021574,2025-04-09 14:13:34+00,"Bac, bac professionnel",Au moins 3 ans,Nouméa,Anonyme,,"Développer et fidéliser la relation client,Mettre en oeuvre des actions commerciales et promotionnelles,Établir, mettre à jour un dossier, une base de données,Utiliser les outils bureautiques,Assurer la gestion administrative d'une activité,Assurer un accueil téléphonique,Transmettre de l'information,Déterminer des mesures correctives,Acceuillir, orienter, informer une personne,Suivre une audience Web",Techniques commerciales,florian.keller@ci-immo.nc
D1106,2025-04-08,Vendeur / Vendeuse en boulangerie-pâtisserie,2025-04-08 11:57:22+00,Dès que possible,,1 mois,1,2025-04-021562,2025-04-08 11:57:22+00,"CAP, BEP",Au moins 1 an,Mont-Dore (Le),Anonyme,,"Conditionner des produits,Informer, renseigner une personne sur les articles en vente,Réaliser l'emballage de produits frais,Communiquer à l'oral en milieu professionnel,Réaliser un inventaire,Procéder à l'encaissement,Ranger des produits ou marchandises selon leurs dates de validité et les conditions de conservation,Réaliser la mise en rayon,Contrôler l'état des stocks,Mettre en place/rafraîchir l'étal (glace, décoration), disposer les produits et afficher les prix,Retirer des produits non conformes,Contrôler l'état de conservation d'un produit périssable,Gérer une caisse,Définir des besoins en approvisionnement,Entretenir, nettoyer un espace, un lieu, un local,Entretenir un équipement, une machine, une installation,Organiser le traitement des commandes,Présenter et valoriser un produit ou un service,Répondre aux attentes d'un client,Organiser, aménager un espace de vente,Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison","Techniques de vente,Types de pâtisserie,Utilisation d'appareils de lecture optique de codes-barres (pistolet, flasheur, ...),Types de pain,Utilisation de trancheuse,Types de sandwichs,Chaîne du froid,Types de produits boulangers,Types de produits traiteurs,Compositions de salades,Procédures d'encaissement,Règles de tenue de caisse,Règles d'hygiène et de sécurité alimentaire",fournildelacoulee@gmail.com
M1206,2025-03-17,Adjoint / Adjointe au chef comptable,2025-03-17 11:02:19+00,Dès que possible,,,1,2025-03-021344,2025-03-17 11:02:19+00,"Bac + 3, bac + 4",Au moins 5 ans,Nouméa,CIPAC SA,98846 NOUMEA CEDEX,"Gérer la trésorerie, le recouvrement,Gérer la relation avec les fournisseurs, sous-traitants, prestataires,Établir des déclarations fiscales et sociales,Élaborer des procédures administratives ou comptables,Superviser la gestion de filiales,Réaliser une analyse comptable et financière,Préparer l'établissement de comptes consolidés,Contrôler l'efficacité des procédures comptables,Mettre en place les procédures comptables,Assurer la gestion administrative d'une activité,Contrôler la cohérence des comptes sociaux,Établir un état de rapprochement bancaire,Réaliser un bilan comptable,Animer, coordonner une équipe,Établir un état financier,Collecter et analyser des informations,Garantir la fiabilité des comptes et des documents comptables,Réaliser une gestion comptable","Fiscalité,Normes comptables International Financial Reporting Standards (IFRS),Comptabilité analytique,Comptabilité tiers,Droit économique,Suivi des immobilisations comptables",resprh@cipac.nc
G1803,2025-03-20,Serveur / Serveuse en restauration,2025-03-20 09:01:49+00,Dès que possible,Diplôme en Hôtellerie/Restauration,,1,2025-03-021375,2025-03-20 09:01:49+00,"CAP, BEP",Au moins 1 an,Nouméa,MALONGO CAFE STORE,98800 Nouméa,"Effectuer le service de plats à table selon les techniques spécifiques (à l'assiette, à la française, à l'anglaise, ...),Préparer des boissons chaudes ou froides,Réaliser un service au bar,Optimiser les consommations d'énergie,Lutter contre le gaspillage alimentaire,Traiter une commande,Accueillir le client et l'installer,Réaliser un service en salle,Entretenir, nettoyer un espace, un lieu, un local,Communiquer avec l'équipe de salle,Connaître les process d'ouverture et de fermeture de l'établissement,Communiquer à l'oral en milieu professionnel,Conseiller le client dans ses choix de plats selon ses goûts, les suggestions du jour,Dresser les tables,Réaliser la mise en place de la salle et de l'office,Mémoriser des informations,Encaisser le montant d'une vente,Accueillir le client à son arrivée au restaurant, l'installer à une table et lui présenter la carte,Conseiller le client dans ses choix de plats selon ses goûts, les suggestions du jour et prendre sa commande,Procéder à l'encaissement,Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Utiliser des logiciels spécifiques,Renseigner le client sur la composition des produits, allergènes, provenance,Veiller à la satisfaction d'un client,Effectuer le suivi des réservations,Saisir une commande sur informatique,Enregistrer et traiter les réclamations des clients et bénéficiaires,Débarrasser une table,Nettoyer une salle de réception,Préparer des plats simples (salades, assiette de crudités, de fromages, desserts, ...),Réceptionner et contrôler des produits (quantité, conformité, état, ...),Réaliser l'entretien des verres et des couverts (à la vapeur, au vinaigre, ...) et le rangement de la vaisselle,Ranger une réserve","Utilisation de matériel de bar,Lecture de plan de salle,Techniques de comptage,Typologie du client,Préparations culinaires de base,Règles et consignes de sécurité,Techniques de dressage de table,Procédures d'encaissement,Techniques du service en salle,Techniques de port de plateaux/plats,Techniques de service des plats,Langue étrangère - Anglais,Caisse informatisée,Techniques de service à l'assiette,Techniques de mémorisation,Règles d'hygiène et de sécurité alimentaire",cv@cafestore.nc
I1305,2025-04-10,Technicien / Technicienne de maintenance en matériel biomédical,2025-04-10 09:57:50+00,Dès que possible,,3 mois,1,2025-04-021579,2025-04-10 09:57:50+00,Bac +2,Au moins 3 ans,Nouméa,PACIFIC CARE,98895 NOUMEA CEDEX,"Définir une procédure d'installation ou une configuration de système électronique en fonction de l'environnement client,Assister un utilisateur à distance,Entretenir un équipement de contrôle ou de mesure,Installer et entretenir des équipements / systèmes électroniques,Définir les caractéristiques techniques du produit,Assister un client lors de la prise en main d'un outil/ équipement,Planifier une intervention,Réaliser un diagnostic technique,Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné,Connecter des équipements électroniques,Installer un équipement électronique,Définir l'intervention et sélectionner les machines et outillages appropriés,Diagnostiquer une panne,Configurer l'installation et effectuer sa mise au point,Détecter un dysfonctionnement,Sélectionner des machines et des outillages appropriés,Changer ou réparer une pièce ou un ensemble défectueux,Vérifier par simulation, tests, essais, calculs, les fonctionnalités et les caractéristiques du système électrique ou électronique,Apporter une assistance technique,Rendre compte de son activité,Changer une pièce défectueuse,Contrôler le fonctionnement d'un équipement, d'une machine, d'une installation,Identifier les composants et les pièces défectueuses,Préparer du matériel en prévision d'un travail,Monter et régler une installation, une machine,Définir les interventions sur un équipement selon le dossier technique,Ajuster son intervention sur un équipement ou un système en fonction des risques,Adapter un équipement électronique à de nouveaux besoins,Évaluer les coûts d'une prestation,Évaluer les délais d'une prestation,Établir un devis d'intervention,Réaliser une intervention nécessitant une habilitation","Commande numérique,Équipements et systèmes médico-chirurgicaux,Automatisme,Electricité,Électronique,Hydraulique,Électrotechnique,Utilisation d'appareils de mesure électrique (multimètre, ...),Règles de sécurité,Logiciels de Gestion de Maintenance Assistée par Ordinateur (GMAO),Lecture de plan, de schéma,Informatique,Mécanique,Chiffrage/calcul de coût",rh@pacific-care.nc
J1506,2025-06-02,Infirmier / Infirmière en gériatrie,2025-04-10 10:00:48+00,"",DIPLOME D'ETAT INFIRMIER,,1,2025-04-021578,2025-04-10 09:36:29+00,Bac +2,Au moins 5 ans,Mont-Dore (Le),RESIDENCE BOULARI,98810 MONT DORE,"Pratiquer des soins palliatifs,Réaliser des soins d'hygiène corporelle, de confort et de prévention,Réaliser un prélèvement biologique,Désinfecter et décontaminer un équipement,Renseigner des documents médico-administratifs,Pratiquer des soins de psychiatrie et de santé mentale,Pratiquer un suivi des pathologies chroniques stabilisées,Informer un patient,Assurer la gestion administrative d'une activité,Pratiquer des prises en charge de la douleur,Animer, coordonner une équipe,Surveiller l'état de santé d'une personne,Préparer, installer un dispositif médico-technique,Analyser des résultats d'examen médicaux,Réaliser des soins infirmiers","Identification des signes et du degré de la douleur,Méthodes de décontamination de matériel,Charte des droits du patient,Bonnes pratiques de dispensation de l'oxygène - BPDO,Démarche de Soins Infirmiers (DSI),Pathologies du vieillissement,Modalités de prise en charge de patients en fin de vie,Règles d'hygiène et d'asepsie",directionrb@gmail.com
M1608,2025-04-24,Secrétaire comptable,2025-04-24 14:57:49+00,Dès que possible,,,1,2025-04-021687,2025-04-24 14:57:49+00,Bac +2,Au moins 3 ans,Nouméa,CARPANC,98848 NOUMEA CEDEX,"Développer et fidéliser la relation client,Établir, mettre à jour un dossier, une base de données,Établir un reporting de trésorerie,Utiliser les outils bureautiques,Gérer la trésorerie, le recouvrement,Appliquer un cadre juridique ou réglementaire,Structurer, synthétiser des informations,Assurer un accueil téléphonique,Réaliser des opérations comptables,Acceuillir, orienter, informer une personne",,barreau.noumea@lagoon.nc
G1803,2025-05-01,Serveur / Serveuse de restaurant,2025-04-11 10:08:58+00,"",,6 mois,1,2025-04-021588,2025-04-11 10:08:58+00,"Bac, bac professionnel",Au moins 5 ans,Nouméa,ON THE BEACH,98807 NOUMEA CEDEX,"Communiquer à l'oral en langue étrangère,Connaître les process d'ouverture et de fermeture de l'établissement,Communiquer à l'oral en milieu professionnel,Respecter des règles, des consignes, normes et procédures opérationnelles,Procéder à l'encaissement,Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Conseiller le client dans ses choix de plats selon ses goûts, les suggestions du jour,Effectuer le service des plats à table,Renseigner le client sur la composition des produits, allergènes, provenance,Réaliser la mise en place de la salle et de l'office,Effectuer le suivi des réservations,Enregistrer et traiter les réclamations des clients et bénéficiaires,Accueillir le client et l'installer,Préparer des boissons chaudes ou froides,Présenter la carte des vins, conseiller les clients sur l'accord mets/vin,Réaliser un service au bar,Gérer une situation conflictuelle,Mémoriser des informations,Entretenir, nettoyer un espace, un lieu, un local,Prendre une commande client,Animer, coordonner une équipe,Évacuer, recycler des déchets, des produits,Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison","Utilisation de matériel de bar,Lecture de plan de salle,Techniques de dressage de table,Techniques du service en salle,Association mets/vins,Typologie du client,Techniques de port de plateaux/plats,Critères de tri sélectif,Utilisation de caisse informatisée,Règles d'hygiène et de sécurité alimentaire",otbnoumea@gmail.com
M1806,2025-04-11,Consultant / Consultante IT,2025-04-11 11:10:07+00,Dès que possible,,,1,2025-04-021591,2025-04-11 11:10:07+00,Bac + 5 et plus,Au moins 10 ans,Nouméa,Delta Consulting,98800 Nouméa,"Concevoir et gérer un projet,Contrôler la réalisation et les coûts d¿une prestation,Allouer et organiser les ressources d'un projet selon les besoins et contraintes,Concevoir des supports de communication et d'image,Piloter la gestion des risques,Expliquer et faire respecter les règles et procédures,Communiquer auprès de ses clients internes et externes,Structurer, synthétiser des informations,Rédiger un rapport, un compte rendu d'activité,Procéder aux phases de tests et de recettes des applications développées,Mener et exploiter une analyse stratégique,Élaborer des solutions techniques et fonctionnelles,Gérer les ressources humaines,Animer, coordonner une équipe,Contrôler la conformité des données ou des documents,Présenter les évolutions du système d'information au commanditaire,Mettre en oeuvre les actions de transformation nécessaires aux changements,Rédiger un cahier des charges, des spécifications techniques,Recenser les besoins du commanditaire,Analyser les processus métier","Procédures d'élaboration d'un plan de tests (étapes, scénarii...),Méthode AGILE,Méthodes d'analyse (systémique, fonctionnelle, de risques, ...),Animation d'instances agiles (mêlée, démonstration, rétrospective, ¿),Méthodologie Scrum",pierre.dorchies@delta-consulting.org
